0,0.562182,0.998615,0.125749,0,-0.508,0,-0.4064,0.2032,0,
1,0.562444,0.999505,0.125384,0,-0.508,0,0.508,0.4064,0,
2,0.670402,0.999653,0.341152,-0.3048,-0.508,0,0.508,0.4064,0,
3,0.597822,0.99902,0.196624,-0.3048,-0.508,0,0,0.6096,0,
4,0.589332,0.999138,0.179527,0.4064,-0.508,0,0,0.6096,0,
5,0.563895,0.999192,0.128599,0.508,-0.4064,0,0,0.6096,0,
6,0.549951,0.996584,0.103317,0,-0.3048,0,0,0.6096,0,
8,0.574948,0.995578,0.154318,0,-0.3048,0,-0.2032,0.3048,0,
9,0.626767,0.996994,0.25654,0.6096,-0.6096,0,-0.2032,0.3048,0,
11,0.741031,0.997552,0.48451,0.6096,-0.6096,0,-0.508,0.6096,0,
12,0.736324,0.998586,0.474061,0.6096,-0.508,0,-0.508,0.6096,0,
13,0.651071,0.996648,0.305495,0.6096,-0.508,0,0.2032,0.2032,0,
14,0.555628,0.996832,0.114423,0,-0.6096,0,0.2032,0.2032,0,
15,0.598718,0.998766,0.19867,0,-0.6096,0,-0.2032,0.4064,0,
16,0.531034,0.997987,0.0640801,0.4064,-0.1016,0,-0.2032,0.4064,0,
17,0.584959,0.998794,0.171124,0.4064,-0.1016,0,-0.508,0.6096,0,
19,0.573481,0.999513,0.14745,-0.1016,-0.508,0,-0.508,0.6096,0,
20,0.565303,0.998281,0.132325,-0.1016,-0.508,0,0.4064,0.1016,0,
21,0.582557,0.994283,0.170832,-0.2032,-0.1016,0,0.4064,0.1016,0,
22,0.749066,0.99784,0.500292,0.6096,-0.508,0,0.4064,0.1016,0,
23,0.607514,0.998821,0.216206,0.6096,-0.508,0,-0.6096,0,0,
24,0.599769,0.999042,0.200497,0.1016,-0.6096,0,-0.6096,0,0,
25,0.695576,0.998926,0.392226,-0.1016,-0.6096,0,-0.6096,0,0,
26,0.574273,0.99905,0.149496,0.4064,-0.6096,0,-0.6096,0,0,
27,0.715223,0.999275,0.431171,0.4064,-0.6096,0,-0.508,0.4064,0,
28,0.678403,0.999067,0.357738,-0.3048,-0.3048,0,-0.508,0.4064,0,
29,0.710776,0.998857,0.422695,-0.3048,-0.3048,0,-0.508,0.3048,0,
30,0.626591,0.999491,0.25369,0.2032,-0.6096,0,-0.508,0.3048,0,
32,0.595276,0.999628,0.190925,0.2032,-0.6096,0,0.508,0.3048,0,
35,0.571631,0.99552,0.147742,0.2032,-0.6096,0,0.1016,0.2032,0,
36,0.667296,0.994975,0.339617,0.4064,-0.3048,0,0.1016,0.2032,0,
37,0.596902,0.999006,0.194798,0.4064,-0.3048,0,-0.508,0.2032,0,
38,0.567834,0.998813,0.136855,0.4064,-0.3048,0,-0.508,0.1016,0,
40,0.533257,0.996954,0.0695602,0.3048,-0.1016,0,-0.508,0.1016,0,
42,0.771818,0.994827,0.548809,-0.1016,-0.2032,0,-0.508,0.1016,0,
43,0.553516,0.999111,0.107921,0.2032,-0.6096,0,-0.508,0.1016,0,
44,0.529222,0.997651,0.060792,0.3048,-0.2032,0,-0.508,0.1016,0,
45,0.533801,0.997677,0.0699255,0.2032,-0.3048,0,-0.508,0.1016,0,
46,0.537039,0.997064,0.077013,0.2032,-0.3048,0,-0.4064,0.1016,0,
47,0.544694,0.997615,0.0917727,0.2032,-0.3048,0,0,0.6096,0,
48,0.56049,0.999103,0.121876,0.6096,-0.3048,0,0,0.6096,0,
49,0.563895,0.999192,0.128599,0.508,-0.4064,0,0,0.6096,0,
50,0.787765,0.999029,0.576502,0.508,-0.4064,0,0.508,0.1016,0,
51,0.715873,0.999479,0.432267,0.508,-0.4064,0,-0.6096,0.508,0,
