0,0.638703,0.997386,0.28002,0.2032,-0.2032,0.2032,-0.1016,-0.6096,0,0.6096,0.3048,0,
3,0.617576,0.9976,0.237552,0.2032,-0.2032,0.2032,-0.1016,-0.6096,0,0.6096,0.4064,0,
4,0.600705,0.993651,0.207758,0,0,0.2032,-0.1016,-0.6096,0,0.6096,0.4064,0,
6,0.55388,0.995006,0.112754,0,0,0.2032,-0.3048,-0.6096,0,0.6096,0.4064,0,
8,0.550582,0.99727,0.103893,0.2032,-0.1016,0.2032,-0.3048,-0.6096,0,0.6096,0.4064,0,
16,0.516261,0.997791,0.0347315,0.2032,-0.1016,0.2032,-0.508,-0.6096,0,0.6096,0.4064,0,
17,0.512282,0.997733,0.0268305,-0.1016,0.2032,0.2032,-0.508,-0.6096,0,0.6096,0.4064,0,
20,0.507201,0.995938,0.0184632,0.2032,0.2032,0.2032,-0.508,-0.6096,0,0.6096,0.4064,0,
26,0.506178,0.995346,0.0170091,0.1016,0.2032,0.2032,-0.508,-0.6096,0,0.6096,0.4064,0,
71,0.505501,0.995584,0.015418,0.1016,0.2032,0.2032,-0.508,-0.6096,0,0.6096,0.6096,0,
132,0.502538,0.995282,0.00979382,0.1016,0.2032,0.2032,-0.6096,-0.6096,0,0.6096,0.6096,0,
174,0.498401,0.995759,0.00104245,0.2032,0.2032,0.2032,-0.6096,-0.6096,0,0.6096,0.6096,0,
284,0.498348,0.995708,0.000987713,0.2032,0.2032,0.2032,-0.6096,-0.6096,0,0.508,0.6096,0,
